소방서명,서센터명,출동소요시간,시군구명,읍면동명,GIS_X좌표,GIS_Y좌표,위도,경도,현장소방서거리,현장안전센터거리,발화요인,시설장소
강남소방서,영동119안전센터,459,강남구,신사동,201888.12,547060.03,37.5230269,127.0213592,7.2,2.1,부주의,주거
강남소방서,삼성119안전센터,412,강남구,삼성동,204045.81,545785.01,37.51153199,127.0457609,2.5,2.5,기타,기타
강남소방서,삼성119안전센터,0,강남구,대치동,205626.0079,543976.9786,37.49523326,127.0636203,2.3,2.3,전기적 요인,판매/업무시설
강남소방서,개포119안전센터,509,강남구,대치동,,,,,9.5,3.5,전기적 요인,자동차/철도차량
강남소방서,영동119안전센터,120,강남구,논현동,203185.9725,546685.8828,37.51965225,127.0360395,4.3,0.4,전기적 요인,주거
강남소방서,삼성119안전센터,303,강남구,대치동,204846.64,545034.76,37.50476835,127.054814,1.4,1.4,부주의,판매/업무시설
강남소방서,삼성119안전센터,458,강남구,대치동,204871.72,544248.08,37.49768019,127.0550924,2.4,2.4,부주의,교육시설
강남소방서,삼성119안전센터,342,강남구,대치동,205069.89,544820.45,37.50283621,127.0573374,1.6,1.6,부주의,판매/업무시설
강남소방서,삼성119안전센터,409,강남구,청담동,204147.7254,547028.3087,37.5227337,127.0469207,0.8,5.2,부주의,생활서비스
강남소방서,세곡119안전센터,644,강남구,자곡동,208954.685,541671.76,37.47443681,127.1012337,7,1,부주의,주거
강남소방서,삼성119안전센터,303,강남구,청담동,204226.34,547259.7,37.52481818,127.0478113,2.9,1.1,부주의,기타
강남소방서,영동119안전센터,1244,강남구,논현동,201975.19,546309.37,37.51626325,127.0223422,9.2,3.1,기계적 요인,주거
강남소방서,역삼119안전센터,350,강남구,역삼동,202956.6384,544369.8515,37.49878547,127.033436,3.3,1,부주의,판매/업무시설
강남소방서,영동119안전센터,659,강남구,논현동,202230.96,545246.45,37.50668571,127.0252321,4.8,3.9,부주의,기타
강남소방서,영동119안전센터,401,강남구,신사동,201878.15,546415.81,37.51722248,127.0212448,5.7,1.7,부주의,기타서비스
강남소방서,역삼119안전센터,332,강남구,역삼동,202846.28,545125.28,37.50559227,127.0321909,3.9,1.3,부주의,기타
강남소방서,삼성119안전센터,214,강남구,대치동,205537.29,545203.83,37.50628779,127.0626263,0.9,0.9,부주의,기타
강남소방서,삼성119안전센터,142,강남구,대치동,205987.294,545291.2394,37.50707255,127.0677165,0.6,0.6,부주의,기타
