소방서명,서센터명,출동소요시간,시군구명,읍면동명,GIS_X좌표,GIS_Y좌표,현장소방서거리,현장안전센터거리,발화요인대분류명,시설장소대분류명
frstt_nm,ward_nm,dsp_reqre_time,sigungu_nm,emd_nm,gis_x_axis,gis_y_axis,spt_frstt_dist,spt_safe_cnter_dist,ign_fctr_lclas_nm,fclty_place_lclas_nm
강남소방서,역삼119안전센터,720,강남구,역삼동,202526.51,544429.2,4.1,2.5,부주의,생활서비스
금천소방서,금천119안전센터,220,금천구,독산동,190349.75,540759.49,1.5,1.5,기계적 요인,산업시설
성북소방서,종암119안전센터,130,성북구,종암동,202592.3677,555907.0761,0.3,0.3,전기적 요인,주거
중랑소방서,중화119안전센터,453,중랑구,중화동,206878.85,555144.22,4.1,1,전기적 요인,주거
광진소방서,중곡119안전센터,230,광진구,중곡동,207268.02,550809.12,2.1,1.6,부주의,생활서비스
동작소방서,백운119안전센터,418,동작구,상도동,195439.11,544506.96,5,1.6,부주의,주거
강남소방서,삼성119안전센터,404,강남구,대치동,204920.6407,544217.2664,2.3,1.6,자연적인 요인,주거
서초소방서,반포119안전센터,450,서초구,방배동,198657.9286,542948.8187,2.8,2.8,전기적 요인,생활서비스
노원소방서,상계119안전센터,319,노원구,중계동,206224.0782,561288.178,2.2,0.5,부주의,주거
종로소방서,신영119안전센터,400,종로구,신영동,196726.11,556077.41,2.8,1.8,부주의,기타
금천소방서,금천119안전센터,800,금천구,가산동,188975.27,542684.74,4.6,4.6,부주의,판매/업무시설
영등포소방서,여의도119안전센터,454,영등포구,여의도동,194893.9044,546381.9923,5,2,부주의,임야
양천소방서,신정119안전센터,300,양천구,신정동,187996.6026,547218.7632,1.6,1.5,부주의,주거
성북소방서,돈암119안전센터,419,성북구,삼선동1가,200778.2791,553604.2394,5,3,부주의,주거
중랑소방서,망우119안전센터,359,중랑구,망우동,208880.45,554799.34,2.5,0.8,부주의,주거
동작소방서,백운119안전센터,412,동작구,사당동,198195.79,542461.25,7.6,2.6,부주의,기타
은평소방서,녹번119안전센터,140,은평구,녹번동,193636.304,555846.7114,3.5,0.8,부주의,주거
성북소방서,돈암119안전센터,316,성북구,삼선동5가,201441.5775,554202.8811,4,1.2,부주의,기타
서대문소방서,북가좌119안전센터,308,서대문구,북가좌동,192068.6,553375.41,3.1,0.6,부주의,기타
노원소방서,상계119안전센터,527,노원구,상계동,205768.3336,561856.746,2.4,1.2,부주의,생활서비스
송파소방서,가락119안전센터,403,송파구,석촌동,209050.26,544423.97,4.7,2.3,부주의,기타
성동소방서,성수119안전센터,110,성동구,성수동2가,205011.2522,549523.3078,3,0.7,부주의,판매/업무시설
성북소방서,길음119안전센터,446,성북구,정릉동,199814.77,555989.5868,5.1,3.6,미상,자동차/철도차량
은평소방서,수색119안전센터,300,은평구,신사동,192463.23,555414.98,3.7,1,부주의,판매/업무시설
관악소방서,봉천119안전센터,439,관악구,봉천동,193748.3929,543713.7432,4.4,2,부주의,기타
중부소방서,회현119안전센터,347,중구,순화동,197254.68,551648.62,4.8,2,부주의,의료/복지시설
금천소방서,금천119안전센터,502,금천구,독산동,191796.81,541897.04,2.2,2.2,부주의,주거
도봉소방서,도봉119안전센터,436,도봉구,도봉동,203921.86,563422.66,0.8,2.4,부주의,산업시설
영등포소방서,신길119안전센터,351,영등포구,신길동,192302.72,545690.96,1.9,1,부주의,주거
송파소방서,거여119안전센터,421,송파구,거여동,213114.1927,543019.3609,2.7,2,부주의,기타
강서소방서,개화119안전센터,405,강서구,오쇠동,182167.5177,549584.7021,7.1,3.5,전기적 요인,자동차/철도차량
구로소방서,공단119안전센터,323,구로구,구로동,191354.73,542781.71,4.6,0.9,부주의,기타
강남소방서,영동119안전센터,536,강남구,논현동,202947.86,546216.81,4.1,1.3,부주의,기타
중랑소방서,망우119안전센터,239,중랑구,망우동,209072.4873,555683.0192,2.4,0.5,부주의,집합시설
송파소방서,방이119안전센터,615,송파구,풍납동,209832.3323,548528.8962,7,5,부주의,기타
영등포소방서,대림119안전센터,150,영등포구,신길동,191783.4436,544636.3708,3.1,0.5,부주의,주거
강남소방서,영동119안전센터,207,강남구,신사동,202574.16,546857.1,4.9,0.9,부주의,기타
노원소방서,공릉119안전센터,333,노원구,공릉동,207609.8952,558571.2391,2.1,0.8,부주의,생활서비스
서초소방서,서초119안전센터,316,서초구,서초동,200948.57,543666.64,2.8,1.1,부주의,판매/업무시설
관악소방서,관악119안전센터,421,관악구,신림동,194196.5,541689.49,2.8,2.8,부주의,기타
서초소방서,잠원119안전센터,239,서초구,서초동,201247.206,543879.7724,3.2,0.8,부주의,기타
중부소방서,무학119안전센터,114,중구,신당동,201295.249,551714.9625,0.1,0.1,전기적 요인,생활서비스
중랑소방서,망우119안전센터,358,중랑구,망우동,208592.8543,554959.7538,2.9,0.7,부주의,주거
서대문소방서,북아현119안전센터,259,서대문구,북아현동,196026.45,551743.37,6.6,1.8,미상,기타
관악소방서,난곡119안전센터,408,관악구,신림동,192407.9322,541807.5288,1,3.5,전기적 요인,생활서비스
영등포소방서,영등포119안전센터,350,영등포구,영등포동2가,191966.9727,546646.8448,0.7,0.7,부주의,판매/업무시설
용산소방서,후암119안전센터,215,용산구,동자동,197509.61,550146.53,2.2,1,부주의,기타
관악소방서,관악119안전센터,623,관악구,신림동,195593.0685,538640.9973,2.9,2.9,미상,자동차/철도차량
은평소방서,진관119안전센터,200,은평구,대조동,193315.88,557347.33,1.6,1.6,부주의,기타
송파소방서,거여119안전센터,335,송파구,마천동,213979.7351,544133.9686,2.8,1.8,부주의,기타
서대문소방서,연희119안전센터,457,서대문구,연희동,193171.12,552342.04,2.3,2.3,부주의,기타
광진소방서,능동119안전센터,235,광진구,군자동,206862.38,550849.08,2,0.7,부주의,기타
