GIS_X좌표,GIS_Y좌표
202244.0022,545492.3432
204547.4753,547281.0168
207302.11,543489.63
208825.6287,543633.4469
208127.408,543591.2122
203100.26,545640.86
204666.9182,547348.4011
204332.3863,543080.56
204610.0225,543249.9137
204754.55,545020.16
208536.44,541417.03
204036.25,546568.5
201682.9916,547068.6094
201803.5518,546455.5848
203491.79,543786.5
208085.522,543863.5327
204677.3533,543080.9845
204925.58,544885.52
204154.87,544100.54
203147.07,544145.43
203299.1326,547465.428
204657.48,543988.99
202137.96,545406.3
202364.28,545356.35
204462.46,544030.09
202250.85,547035.07
202913.49,545988.11
205133.92,544222.57
205808.8382,544288.9534
203173.3432,546691.0527
203886.28,546996.1
203849.86,545303.88
203450.54,544812.42
202351.45,545863.04
204015.5613,546889.8783
203001.15,545316.713
203015.3695,546947.1192
202363.72,545668.12
204424.7413,546539.5354
203309.9809,544410.194
203369.6964,547323.1989
204112.8,541912.6
205389.5,542650.55
208285.6218,541573.6641
203285.12,545296.82
207334.19,543351.49
207117.5433,543290.4743
204036.85,542632.13
202924.25,544574.63
202877.5124,543475.8935
201878.81,545855.43
202994.16,547040.97
205672.09,546488.25
202869.62,543501.97
203870.761,547727.7955
202783.85,543815.44
203806.39,543770.81
201990.41,546243.48
203932.4635,542202.7831
202927.2,545255.31
205255.1812,546616.1508
207920.5686,543747.1341
207455.89,543721.38
203465.94,544738.86
203489.15,544975.25
202864.2648,543634.395
206466.4441,543538.0632
202086.25,545385.22
202445.22,545211.84
204793.19,544592.51
202785.29,545268.79
204642.32,545581.69
204043.912,542201.3918
203573.11,545785.55
202597.98,547479.42
207494.43,543738.43
204757.1,545010.37
205158.77,544373.68
205772.09,545880.77
204946.5053,547397.8079
208873.2428,541537.172
204119.0198,544867.3846
203964.48,547119.4053
203211.8874,543794.8263
201844.87,546224.64
204347.5197,545007.0949
208470.4744,541457.9369
202420.6967,548091.9854
204383.1912,546451.9364
205449.5473,544690.1307
202661.0007,545957.817
203332.73,543493.87
203121.5412,545140.803
205151.03,545175.58
203100.7227,547099.2191
202769.77,545002.79
203732.5,546602.31
202246.44,545422.75
205414.645,544238.9586
202215.71,546430.75
203973.8974,546881.9339
204137.91,545130.73
202617.0835,546780.9235
202423.22,547374.89
203224.84,543851.76
203665.23,545290.16
203924.63,546577.15
204760.06,544394.86
203445.82,545562.55
204404.7202,545787.5875
203502.31,543890.19
210956.48,549169.67
211410.6477,549618.8044
211978.1414,548276.627
210991.88,548950.3
211483.64,548155.54
211880.2407,550038.4151
211314.7947,548785.2734
211181.35,550050.96
213465.5101,550824.3322
211934.16,547393.06
212383.84,548208.57
212065.4357,548098.932
212233.14,548524.26
212074.2742,551259.575
212987.35,548189.39
213683.31,549958.07
210739.62,549125.5
212221.2993,548681.19
213312.5341,547796.4204
214455.5397,549545.4575
214831.8596,549557.7472
212809.65,549201.84
212047.78,550850.95
212254.2,547891.96
211165.1,547580.78
212776.3701,550189.5084
211480.67,549216.86
212203.49,547687.66
211071.91,547921.2754
211548.25,547150.32
212547.77,548978.62
210741.07,547922.52
212568.2119,549692.5986
212720.68,549978.84
211203.97,548641.22
215430.2282,552688.2927
214941.6271,550094.8378
211659.7787,548400.4871
211770.9,549916.12
211609.0931,550324.8072
211820.6635,548390.9383
211920.1424,549617.0565
211364.4647,548695.7482
212549.5644,551947.3362
211459.85,547612.1
210659.0823,549580.3329
214544.8659,552566.4239
215279.26,550827.75
211924.64,550640.16
213649.32,550361.32
211938.5423,549504.1465
211866.23,550610.71
212585.71,550391.52
213787.5037,550938.3409
211004.7704,549219.7082
212398.7197,550874.2208
211079.3827,549199.1249
211382.74,547867.63
211831.95,547589.28
211667.95,550196.87
215663.57,551731.89
212250.0988,548617.5436
212371.24,548638.07
214331.53,551427.78
211977.0549,548918.092
210700.5753,547990.603
212133.95,548403.37
212571.32,549587.38
211047.74,548213.47
212436.3137,548104.576
211305.88,550425.32
213047.1177,551789.3667
211500.61,550351.06
211116.0604,548551.451
211255.11,549941.02
212032.92,549141.44
212993.95,548607.17
213657.35,551378.33
212740.04,548297.7
212118.6093,550351.893
216092.5551,550141.3759
211278.1648,548739.7999
210966.5,549562.06
212829.35,550031.24
213232.59,548372.54
211035.1578,550374.4386
214698.3468,550716.1818
212060.43,547866.59
212574.18,548751.89
212524.16,549305.1
211334.5071,549063.1759
211451.18,550546.96
212308.27,548760.15
210715.58,548938.37
212988.26,550026.52
211350.15,550262.85
212011.25,550350.28
215570.31,549770.18
212645.6747,548673.4271
215383.9253,551276.4274
210903.0527,548182.5515
211863.953,547719.7822
212696.61,550288.17
215487.5127,549621.0885
215301.4958,551745.4738
211912.19,550426.4
211181.5316,549327.6844
215963.4857,550828.1417
211379.0555,550360.1766
211246.68,548016.76
211244.87,548014.68
215467.7627,549618.3385
214931.5139,552183.8301
211955.47,548703.51
212716.58,547690.4
211670.07,548967.25
213356.6508,550987.1971
212714.51,549590.05
212150.35,548517.95
212512.0133,548054.2241
211613.3,548878.23
210911.0962,547780.7979
213695.9214,551035.2291
212731.46,549447.19
211314.23,550626.22
212883.6089,550435.9668
,
211309.79,549316.55
212622.79,549462.84
211436.628,550149.827
215048.98,549739.84
211409.51,550469.78
212216.8006,550646.0814
211925.4237,549641.6498
211036.95,547859.26
211489.23,550315.9232
214327.69,551292.38
212697.8525,550364.4899
212245.13,547778.3
212681.4893,548776.8028
212627.9293,550137.4199
212414.81,550962.59
211592.8497,549196.9984
214952.7,551367.83
214971.35,549678.07
211406.57,549358.33
211247.14,548755.67
212252.7954,547826.4081
212836.5708,548336.8713
215106,550128.45
214910.96,551370.98
211415.2419,549085.3735
211676.51,548830.17
212626.77,549218.51
212564.2,548782.86
212134.2127,548191.5816
212548.4134,549873.9784
211461.34,549033.04
215424.6829,551611.7652
211392.09,550335.6
212479.15,550007.33
211057.6765,549225.4318
211930.13,549228.58
214914.1742,550666.6564
212817.27,549863.84
215214.5186,550118.047
214718.06,549509.32
213740.74,550467.05
213488.3406,550759.6702
211041.4,549364.53
214725.15,549548.11
201902.62,559107.88
201997.64,557014.29
202082.69,559161.55
202164.0548,557783.4593
202213.36,558384.01
202328.6179,557990.2201
202192.0942,559686.7863
203953.6903,558017.3571
200948.6,558530.45
202139.74,559901.39
201843.01,559111.55
201973.73,559325.89
201796.97,560462.39
201740.4935,557451.3026
202411.06,559809.6
202881.325,560000.3019
201590.49,560115.7
202066.97,559994.29
201914.53,560227.58
200983.97,560893.54
201940.76,558965.52
202181.85,559191.74
202321.63,558392.84
201902.36,557184.09
202021.6326,559298.2083
201248.56,560464.99
201874.0938,557498.3733
201193.7532,558277.2865
203154.76,557570.35
202450.67,560274.52
202851.81,557267.62
201949.18,557712.43
203294.1857,559234.5642
201740.66,557767.19
202171.61,558592.06
202751.04,558055.09
203145.3835,557005.1989
201762.02,557982.18
202803.75,560097.26
202109.73,557126.19
201490.64,559376.48
202943.4,557984.8
203044.19,558495.46
200916.03,560785.95
201689.69,560723.79
201591.4773,560487.2026
202422.39,557604.24
200503.1854,560665.8027
202093.4131,558947.6577
203056.0829,559328.1465
202911.4,558031
200782.4649,563204.9881
201574.62,558750.04
202232.74,559878.73
202385.98,559895.75
201382.4,560994.25
201546.18,559109.67
203471.34,558856.47
202045.85,559027.67
201762.2408,559902.3383
201711.22,557780.73
202101.89,558074.94
202750.29,560161.59
202676.6979,558775.9551
202229.6158,557075.9143
201958.3658,559590.0892
201214.404,559241.4485
202788.58,559722.43
202466.87,560015.09
202875.8,559471.46
201784.83,560900.35
202426.72,558590.1
202095.04,558950.36
203647.47,558621.38
202795.5708,559663.3263
202076.835,559195.465
201866.3833,557638.1248
201443.36,558893.58
201550.29,560746.42
202426.27,557412.16
202361.6473,558247.8218
202086.07,558870
201696.04,559271.18
203726.788,558847.9138
202773.97,556808.54
202015.4939,559555.8991
202594.1,557900.4
201842.43,560429.39
200999.24,560513.33
201610.9814,557650.429
201444.6404,557580.5608
200727.78,559756.08
202040.9747,559420.639
201590.48,560514.41
202101.04,559291.24
202375.2285,559905.935
202808.74,557003.78
201278.65,557868.96
201275.15,560267.43
201720.045,557254.67
201138.57,562196.38
202385.98,559895.75
201837.7208,560582.6662
204072.217,558074.3939
202952.21,559461.68
202562.085,558285.3434
202743,558207.67
