위치명,발생건수
"37.5776283, 126.8973031",1
"37.5776318, 126.8972908",1
"37.5776314, 126.8972922",1
"37.5777163, 126.8971682",1
"37.5776293, 126.8972983",1
"37.5777161, 126.8971795",1
"37.5777148, 126.8971719",1
"37.5777094, 126.8971829",1
"37.5776328, 126.8972927",1
"37.5776324, 126.89729",1
"37.5776286, 126.8973028",1
"37.577747, 126.8971266",1
"37.5776285, 126.8973018",1
"37.5777467, 126.8971263",1
"37.5777467, 126.8971262",1
"37.5776285, 126.897303",1
"37.5776286, 126.8973003",1
"37.5776286, 126.8973017",1
"37.5776286, 126.8973019",1
"37.5776286, 126.8973032",1
"37.5776318, 126.8972932",1
"37.5776287, 126.8973015",1
"37.5777465, 126.8971263",1
"37.5777463, 126.8971288",1
"37.5776293, 126.8972979",1
"37.5777199, 126.8971634",1
"37.5777173, 126.8971688",1
"37.5777165, 126.8971779",1
"37.5777103, 126.897182",1
"37.57776, 126.8971055",1
